"morphology","valid start year","valid end year","start year","end year","same primary"
"9690/3","2001",,"2001",,"9590/3"
"9690/3","2001",,"2001",,"9591/3"
"9690/3","2001",,"2001","2009","9596/3"
"9690/3","2001",,"2001",,"9675/3"
"9690/3","2001",,"2001","2009","9678/3"
"9690/3","2001",,"2001","2009","9679/3"
"9690/3","2001",,"2001","2009","9680/3"
"9690/3","2001",,"2001","2009","9684/3"
"9690/3","2001",,"2001",,"9691/3"
"9690/3","2001",,"2001",,"9695/3"
"9690/3","2001",,"2001",,"9698/3"
"9690/3","2001",,"2001","2009","9805/3"
"9690/3","2001",,"2001","2009","9820/3"
"9691/3","2001",,"2001",,"9590/3"
"9691/3","2001",,"2001",,"9591/3"
"9691/3","2001",,"2001","2009","9596/3"
"9691/3","2001",,"2001",,"9675/3"
"9691/3","2001",,"2001","2009","9678/3"
"9691/3","2001",,"2001","2009","9679/3"
"9691/3","2001",,"2001","2009","9680/3"
"9691/3","2001",,"2001","2009","9684/3"
"9691/3","2001",,"2001",,"9690/3"
"9691/3","2001",,"2001",,"9695/3"
"9691/3","2001",,"2001",,"9698/3"
"9691/3","2001",,"2001","2009","9805/3"
"9691/3","2001",,"2001","2009","9820/3"
"9964/3","2001",,"2001",,"9800/3"
"9964/3","2001",,"2001","2009","9801/3"
"9964/3","2001",,"2001","2009","9840/3"
"9964/3","2001",,"2001","2009","9860/3"
"9964/3","2001",,"2001","2009","9861/3"
"9964/3","2001",,"2001","2009","9863/3"
"9964/3","2001",,"2001","2009","9866/3"
"9964/3","2001",,"2001","2009","9867/3"
"9964/3","2001",,"2001","2009","9870/3"
"9964/3","2001",,"2001","2009","9871/3"
"9964/3","2001",,"2001","2009","9872/3"
"9964/3","2001",,"2001","2009","9873/3"
"9964/3","2001",,"2001","2009","9874/3"
"9964/3","2001",,"2001","2009","9875/3"
"9964/3","2001",,"2001","2009","9876/3"
"9964/3","2001",,"2001","2009","9891/3"
